run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,0,parameter_l2_norm,3,45.47855,0.04612266,0.02662893,0.95,4.302653,0.114575,45.36398,45.59313,45.42788,45.51808
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,1,parameter_l2_norm,3,45.34449,0.02826057,0.01631625,0.95,4.302653,0.07020315,45.27428,45.41469,45.31916,45.37497
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,2,parameter_l2_norm,3,49.0379,0.08426792,0.04865211,0.95,4.302653,0.2093331,48.82856,49.24723,48.94723,49.11381
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,3,parameter_l2_norm,3,54.59308,0.09890495,0.0571028,0.95,4.302653,0.2456935,54.34739,54.83877,54.53164,54.70717
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,4,parameter_l2_norm,3,58.121,0.1396238,0.08061185,0.95,4.302653,0.3468448,57.77416,58.46785,58.00038,58.27396
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,5,parameter_l2_norm,3,60.27855,0.1304675,0.07532545,0.95,4.302653,0.3240993,59.95445,60.60265,60.13354,60.38642
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,6,parameter_l2_norm,3,61.42415,0.1277726,0.07376955,0.95,4.302653,0.3174048,61.10675,61.74156,61.28659,61.53912
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,7,parameter_l2_norm,3,61.86335,0.04108585,0.02372093,0.95,4.302653,0.1020629,61.76129,61.96541,61.8253,61.90691
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,8,parameter_l2_norm,3,61.83875,0.09492756,0.05480645,0.95,4.302653,0.2358131,61.60294,62.07456,61.74837,61.93765
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,9,parameter_l2_norm,3,61.59325,0.08414546,0.0485814,0.95,4.302653,0.2090289,61.38422,61.80227,61.49624,61.64658
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,10,parameter_l2_norm,3,61.03464,0.08037806,0.04640629,0.95,4.302653,0.1996702,60.83497,61.23431,60.95827,61.1185
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,11,parameter_l2_norm,3,60.30635,0.1374098,0.07933357,0.95,4.302653,0.3413448,59.96501,60.6477,60.15665,60.42674
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,12,parameter_l2_norm,3,59.30866,0.1290606,0.0745132,0.95,4.302653,0.3206044,58.98805,59.62926,59.15979,59.38901
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,13,parameter_l2_norm,3,58.29185,0.1438157,0.08303205,0.95,4.302653,0.3572581,57.93459,58.64911,58.12651,58.38793
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,14,parameter_l2_norm,3,57.06862,0.1539641,0.08889119,0.95,4.302653,0.3824679,56.68615,57.45109,56.90156,57.20481
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,15,parameter_l2_norm,3,55.96536,0.1951039,0.1126433,0.95,4.302653,0.4846648,55.4807,56.45003,55.7742,56.16418
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,16,parameter_l2_norm,3,54.82462,0.1296339,0.07484416,0.95,4.302653,0.3220284,54.50259,55.14665,54.67566,54.91189
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,17,parameter_l2_norm,3,53.67565,0.09789537,0.05651992,0.95,4.302653,0.2431856,53.43246,53.91883,53.56521,53.75175
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,18,parameter_l2_norm,3,52.75109,0.1699455,0.0981181,0.95,4.302653,0.4221681,52.32892,53.17326,52.55666,52.87128
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,19,parameter_l2_norm,3,51.85809,0.1654438,0.095519,0.95,4.302653,0.4109851,51.44711,52.26908,51.68875,52.01935
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,20,parameter_l2_norm,3,51.07412,0.3242901,0.187229,0.95,4.302653,0.8055814,50.26854,51.8797,50.74096,51.38875
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,21,parameter_l2_norm,3,50.7847,0.2519267,0.1454499,0.95,4.302653,0.6258205,50.15888,51.41052,50.57367,51.06361
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,22,parameter_l2_norm,3,50.62439,0.4178726,0.2412589,0.95,4.302653,1.038053,49.58634,51.66244,50.1699,50.99198
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,23,parameter_l2_norm,3,50.66142,0.4900809,0.2829483,0.95,4.302653,1.217428,49.44399,51.87884,50.11609,51.06502
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,24,parameter_l2_norm,3,50.7986,0.4819921,0.2782783,0.95,4.302653,1.197335,49.60127,51.99594,50.24215,51.0863
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,25,parameter_l2_norm,3,50.82847,0.376651,0.2174596,0.95,4.302653,0.935653,49.89282,51.76412,50.39355,51.04693
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,26,parameter_l2_norm,3,50.79081,0.3495252,0.2017985,0.95,4.302653,0.8682689,49.92254,51.65907,50.38737,51.00226
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,27,parameter_l2_norm,3,50.79386,0.3515138,0.2029466,0.95,4.302653,0.8732087,49.92065,51.66707,50.38873,51.01794
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,28,parameter_l2_norm,3,50.83268,0.3588327,0.2071722,0.95,4.302653,0.8913899,49.94129,51.72407,50.41963,51.06747
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,29,parameter_l2_norm,3,50.88235,0.3654733,0.2110061,0.95,4.302653,0.9078861,49.97447,51.79024,50.46198,51.12472
