run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,4,test_accuracy,3,0.9753,0.002291288,0.001322876,0.95,4.302653,0.005691875,0.9696081,0.9809919,0.9728,0.9773
AdamW,adamw,AdamW,5,test_accuracy,3,0.9755667,0.001258306,0.0007264832,0.95,4.302653,0.003125805,0.9724409,0.9786925,0.9744,0.9769
AdamW,adamw,AdamW,6,test_accuracy,3,0.9750667,0.002350177,0.001356875,0.95,4.302653,0.005838164,0.9692285,0.9809048,0.9727,0.9774
AdamW,adamw,AdamW,7,test_accuracy,3,0.9775,0.0014,0.0008082904,0.95,4.302653,0.003477793,0.9740222,0.9809778,0.9759,0.9785
AdamW,adamw,AdamW,8,test_accuracy,3,0.9770667,0.00310215,0.001791027,0.95,4.302653,0.007706167,0.9693605,0.9847728,0.9739,0.9801
AdamW,adamw,AdamW,9,test_accuracy,3,0.9778333,0.001965536,0.001134803,0.95,4.302653,0.004882663,0.9729507,0.982716,0.9766,0.9801
AdamW,adamw,AdamW,10,test_accuracy,3,0.9780667,0.0004041452,0.0002333333,0.95,4.302653,0.001003952,0.9770627,0.9790706,0.9776,0.9783
AdamW,adamw,AdamW,11,test_accuracy,3,0.9799,0.002051828,0.001184624,0.95,4.302653,0.005097024,0.974803,0.984997,0.9778,0.9819
AdamW,adamw,AdamW,12,test_accuracy,3,0.9815667,0.001001665,0.0005783117,0.95,4.302653,0.002488274,0.9790784,0.9840549,0.9806,0.9826
AdamW,adamw,AdamW,13,test_accuracy,3,0.9798333,0.002409011,0.001390843,0.95,4.302653,0.005984315,0.973849,0.9858176,0.9782,0.9826
AdamW,adamw,AdamW,14,test_accuracy,3,0.9791667,0.003023795,0.001745789,0.95,4.302653,0.007511522,0.9716551,0.9866782,0.9769,0.9826
AdamW,adamw,AdamW,15,test_accuracy,3,0.9828667,0.001137248,0.0006565905,0.95,4.302653,0.002825081,0.9800416,0.9856917,0.9816,0.9838
AdamW,adamw,AdamW,16,test_accuracy,3,0.9836667,0.0009291573,0.0005364492,0.95,4.302653,0.002308155,0.9813585,0.9859748,0.9826,0.9843
AdamW,adamw,AdamW,17,test_accuracy,3,0.9833333,0.0008504901,0.0004910307,0.95,4.302653,0.002112734,0.9812206,0.9854461,0.9827,0.9843
AdamW,adamw,AdamW,18,test_accuracy,3,0.9841,0.0002645751,0.0001527525,0.95,4.302653,0.0006572411,0.9834428,0.9847572,0.9838,0.9843
AdamW,adamw,AdamW,19,test_accuracy,3,0.9839333,0.0004041452,0.0002333333,0.95,4.302653,0.001003952,0.9829294,0.9849373,0.9835,0.9843
AdamW,adamw,AdamW,20,test_accuracy,3,0.9841,0.0003464102,0.0002,0.95,4.302653,0.0008605305,0.9832395,0.9849605,0.9839,0.9845
AdamW,adamw,AdamW,21,test_accuracy,3,0.984,0.0004582576,0.0002645751,0.95,4.302653,0.001138375,0.9828616,0.9851384,0.9836,0.9845
