arm,arm_label,family,variant,layer,epoch,metric,n,mean,std,sem,ci_half_width,ci_low,ci_high,minimum,maximum
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,3,alpha,3,5.751366,1.10566,0.638353,2.746612,3.004754,8.497978,5.038125,7.02502
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,4,alpha,3,7.095221,2.411507,1.392284,5.990516,1.104705,13.085737,5.046,9.752586
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,5,alpha,3,5.240195,2.146272,1.239151,5.331636,-0.091441,10.571832,2.78942,6.784581
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,6,alpha,3,4.189087,2.372434,1.369725,5.893453,-1.704366,10.082539,2.666828,6.922648
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,7,alpha,3,2.44501,0.206117,0.119002,0.512023,1.932987,2.957034,2.247749,2.658968
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,8,alpha,3,2.413757,0.175987,0.101606,0.437177,1.976581,2.850934,2.270598,2.610239
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,9,alpha,3,8.76839,6.516211,3.762136,16.187166,-7.418775,24.955556,2.158251,15.186425
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,10,alpha,3,4.469808,3.959504,2.286021,9.835954,-5.366146,14.305762,2.123111,9.041308
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,11,alpha,3,2.228553,0.012764,0.007369,0.031708,2.196845,2.26026,2.215669,2.241194
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,12,alpha,3,2.111766,0.066451,0.038365,0.165072,1.946694,2.276839,2.035152,2.153736
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,13,alpha,3,5.218811,5.414123,3.125845,13.449426,-8.230615,18.668237,2.040942,11.470211
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,14,alpha,3,2.167546,0.139645,0.080624,0.346897,1.820649,2.514443,2.040958,2.31734
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,15,alpha,3,2.043149,0.044724,0.025821,0.1111,1.932049,2.154249,2.002848,2.091265
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,16,alpha,3,3.902952,3.236995,1.86888,8.041141,-4.138189,11.944093,2.027461,7.640704
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,17,alpha,3,2.080794,0.154047,0.088939,0.382674,1.69812,2.463468,1.954238,2.252322
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,18,alpha,3,2.082275,0.104155,0.060134,0.258734,1.823541,2.341009,2.01762,2.202426
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,19,alpha,3,3.715349,2.979247,1.720069,7.40086,-3.68551,11.116209,1.990791,7.155484
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,20,alpha,3,1.991713,0.069099,0.039895,0.171652,1.820061,2.163365,1.944442,2.071015
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,21,alpha,3,1.982636,0.069687,0.040234,0.173112,1.809524,2.155748,1.92533,2.06021
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,22,alpha,3,1.938911,0.090606,0.052311,0.225077,1.713833,2.163988,1.861387,2.038516
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,23,alpha,3,1.930199,0.107278,0.061937,0.266493,1.663707,2.196692,1.818182,2.032007
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,24,alpha,3,1.92006,0.098859,0.057076,0.245578,1.674482,2.165638,1.814231,2.01003
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,25,alpha,3,1.928247,0.032699,0.018879,0.081229,1.847018,2.009476,1.895073,1.960449
